GEOID,pm25_mean,n_cells
48113014157,13.738283247807392,7
48113014156,13.724151154321582,3
48113014141,13.576398039962701,1
48113014314,13.698823200238586,4
48113014318,12.886194499839949,1
48113014155,13.629942700842397,1
48113014158,13.868645158867396,2
48113014409,13.627055081180046,4
48113014410,,0
48113014316,12.787876537682703,1
48113015406,13.340901829000014,4
48113014140,13.976314517172616,1
48113014154,,0
48113014147,,0
48113014153,13.86396269683607,2
48113015101,13.01951913847595,3
48113015208,,0
48113015002,13.155722043502246,6
48113014144,13.484809045063425,4
48113014313,13.59952904648807,3
48113014320,13.803815403971017,1
48113016634,13.68773688147698,12
48113007203,,0
48113019215,13.744169065311818,2
48113019214,12.96353272339855,1
48113013729,13.793921035527282,3
48113002001,13.118982895300519,2
48113010002,13.20736433432326,2
48113000705,13.62830932215239,1
48113016636,13.823994346329714,3
48113016528,13.800651730405523,5
48113016526,13.695220930797486,1
48113016419,13.504460345520101,4
48113016204,13.03088756506694,3
48113016536,13.428976705552397,1
48113000706,,0
48113001901,,0
48113001801,,0
48113000703,,0
48113001802,,0
48113000610,,0
48113000407,12.701522783013166,1
48113000408,,0
48113016533,13.204350224830613,16
48113016535,13.39949406573583,2
48113003103,,0
48113010809,13.049570309988034,2
48113006701,,0
48113014149,13.94975037474871,1
48113007916,,0
48113013631,,0
48113013107,13.759167789412093,1
48113019049,13.6746481014276,2
48113980200,13.530367516148496,1
48113018150,13.509232710704014,4
48113016708,13.362782612980316,4
48113020800,13.51685920808967,3
48113000802,13.710051899568938,1
48113001602,,0
48113020401,13.332410429481083,1
48113015207,13.020511172436525,4
48113015102,,0
48113015001,,0
48113014143,13.499491804475829,3
48113010906,13.74537571784314,3
48113002002,12.721802351084259,1
48113000607,,0
48113016203,13.374032651105102,1
48113016421,13.428383337973067,3
48113016414,13.619725100764345,1
48113000501,13.288355373351934,1
48113000503,,0
48113000502,13.490185770655678,1
48113010905,14.264718349166989,1
48113000409,12.40814385310553,4
48113001902,13.229227470928082,1
48113000704,13.695470312310245,1
48113001705,,0
48113000609,13.060330501961671,1
48113000611,13.051080989065351,1
48113003102,13.85052544964758,1
48113010808,13.577885310328528,1
48113006702,,0
48113010806,13.526374450113247,2
48113011004,13.574961991107331,1
48113011003,13.534295312082055,1
48113013628,13.850022055241421,1
48113013629,13.433271390336962,1
48113014145,,0
48113016711,13.869419561607232,2
48113011201,13.680009973221077,4
48113016707,13.712526472579734,2
48113007829,13.301050485619703,2
48113019044,13.548829721955705,2
48113019046,13.470630208014024,2
48113012212,14.352638592316092,1
48113016706,13.72896851092764,2
48113019048,,0
48113017816,,0
48113007832,,0
48113018152,13.434735976795006,3
48113000901,,0
48113000608,12.636160411264935,1
48113012213,14.170386197918699,2
48113010807,13.173933670363127,2
48113016415,13.388597799528304,4
48113007701,13.490060053904793,1
48113013728,13.668132084443261,2
48113010003,13.263675329130805,24
48113016418,13.244436676745188,4
48113013201,13.4094727932819,4
48113013106,,0
48113016417,13.202507640316375,2
48113014146,,0
48113013627,13.5379182701263,2
48113007205,,0
48113007204,13.666535626811973,1
48113000410,12.93131931699467,2
48113014160,12.94183261332197,2
48113016637,13.488616164461357,3
48113014159,13.884889529265418,5
48113014150,13.537161013017963,1
48113014152,13.636990056301645,2
48113014317,,0
48113014151,13.405878568032156,1
48113014319,,0
48113014148,13.897479406389113,4
48113014315,13.490852759845986,2
48113014161,13.13434241265857,2
48113015405,13.265239590272632,4
48113014139,,0
48113014903,13.014911072044114,3
48113014208,13.503263117025291,1
48085031645,13.836392546731217,2
48085031646,13.893923431192958,4
48085031647,13.914708538217223,4
48085031649,13.640356920760391,5
48113016633,13.627734938239357,6
48113011603,13.655606265928853,4
48113014207,13.813681084382672,1
48113017005,13.560032679407813,12
48113017009,13.445193209477797,1
48113017007,13.09145328622311,7
48113017706,13.270724240401714,3
48113017817,14.329933970772357,1
48113018158,13.353024018447345,23
48113017313,13.788599878900916,13
48113018154,13.320000918518822,3
48113018157,13.254684679342517,4
48121020404,14.057311674264476,2
48121020116,13.551010875333537,3
48121020123,13.932437735380688,10
48121021530,13.573628698609362,3
48121021655,13.717975872979592,6
48121021417,12.843206407900134,2
48121021419,12.97640024632529,4
48121021420,12.560992493409357,1
48121021421,13.233619303363595,3
48121020320,13.239477597936096,45
48121020317,13.51090000250667,20
48121020314,13.364664761994215,57
48121021653,13.410195734026328,4
48121020316,13.409131772103132,20
48121020318,13.291417585762117,15
48121021423,13.164722285280563,3
48121021642,13.245940631325666,1
48121021415,13.394212598599859,12
48121021650,13.716423349207062,3
48121021539,13.451577587961324,5
48121021529,13.680615484246069,2
48113018300,13.365001122801287,4
48113018401,13.878468099295034,2
48113018402,13.638326230575354,1
48113018403,14.024003490740078,1
48113018600,13.594475319793496,2
48113018700,13.24391114872576,1
48113018143,13.520059329021562,14
48113019101,13.521248748049228,2
48113016416,13.435251644547735,16
48113016525,13.859209165041431,15
48113017818,14.486837295258457,1
48113017705,13.256176243821624,2
48113016710,13.556949028212749,3
48113008401,14.17259757523129,1
48113018148,13.741768839963301,1
48113018156,13.361883109299097,5
48113016629,13.594149672874298,2
48113018153,13.590604356839835,3
48113011202,14.084203464485991,4
48113009001,14.236452511329333,3
48113016630,13.466510516710912,6
48113007834,13.999614940815615,1
48113007835,,0
48113017819,14.495632281129215,1
48113018159,13.341864779451043,32
48113009203,14.013282927493483,2
48113009002,14.203638097297352,3
48113019102,13.387371471312283,3
48113007833,,0
48113017312,13.410370068185234,2
48113012102,14.187007389814259,1
48113016805,13.915826140245535,2
48113016529,13.18011692106383,2
48113011604,13.714246225464898,4
48113018145,13.560344123002272,6
48113018149,12.979694443367777,2
48113017010,13.562862645435905,5
48113017309,13.653595967069993,2
48439111531,13.210392497140187,4
48439111533,12.885629348840421,2
48439111534,12.866219655866297,5
48113018801,13.468848084808606,4
48113018802,13.026320595373999,2
48113018900,13.463408221972566,5
48113019013,13.304696302454758,2
48439113803,13.557391458464924,2
48439113808,13.998032815702945,5
48439111545,13.217255353017185,6
48439113102,13.034195946561981,14
48439113104,13.24569763451246,1
48439113107,12.79803815449339,3
48113019016,13.198819779778947,1
48113019020,13.570841446221463,2
48113019023,13.967172258824375,2
48113019024,13.697725633110013,1
48113019025,13.74452327154697,1
48439102402,13.774663100997723,3
48439110808,12.85850330103219,50
48439110901,13.135284735155414,5
48439102302,13.307931803847982,5
48439110903,13.578783437537547,1
48439111560,13.163564389195866,5
48439111568,13.536026018139166,2
48439113213,13.40279768246208,3
48439113214,13.496574936125446,2
48439113215,13.564172847052806,2
48439113216,13.631958512225873,3
48439113217,13.541705684980593,3
48113019026,13.68040089657769,2
48113019027,13.544177008405105,5
48113019028,13.889451110533106,2
48113021100,13.187038592067637,11
48113016632,13.512388567661018,2
48113016628,13.620575155400935,2
48113011901,13.943198197080527,2
48113011902,13.910799355313593,1
48113009204,,0
48113011802,14.003895901584277,4
48113017307,13.493151421014351,3
48113016627,13.88989043375352,1
48113011801,13.917453462665755,2
48113001601,13.77015963115498,1
48113007828,13.657556427143403,2
48113013013,13.87988857417643,2
48113002703,13.272379842433788,3
48113020900,13.380271837180002,3
48113018147,13.438322432413461,4
48113021000,13.323257171736401,5
48113017308,13.3508388746607,3
48113017203,14.02426748223725,3
48113017311,13.441518174493016,2
48113017314,13.461029874158648,16
48113017006,13.268666435839267,65
48113012101,,0
48113017820,14.387340860591207,2
48113016806,13.928727958536086,3
48113016631,13.483306534902907,3
48113020402,13.398309010601306,5
48113017204,13.932389431504294,2
48113017315,13.77331101772755,3
48113017310,12.889345554529905,2
48113017008,12.912386080360005,16
48113018155,13.280655269650632,14
48113017815,14.302140101954302,3
48113016709,13.672465120262466,29
48439100800,13.4866668632729,3
48439113810,13.777066384169098,5
48439102201,13.122391615520602,5
48439102102,12.427221145922763,2
48439100700,13.097689307952123,5
48439113212,13.601329984823508,4
48439113302,13.877485354514413,2
48439100505,12.898129425597961,5
